Text,Language,clean_text,source
"Within the solar system, it is third closest to the sun; it is the largest terrestrial planet and the fifth largest overall.",English,within solar system third closest sun largest terrestrial planet fifth largest overall,original
"Its most prominent climatic features are its two large polar regions, two relatively narrow temperate zones, and a wide equatorial tropical to subtropical region.",English,prominent climatic feature two large polar region two relatively narrow temperate zone wide equatorial tropical subtropical region,original
"[7] Precipitation varies widely with location, from several metres of water per year to less than a millimetre.",English,precipitation varies widely location several metre water per year less millimetre,original
71 percent of the Earth's surface is covered by salt-water oceans.,English,percent earth surface covered salt water ocean,original
"The remainder consists of continents and islands, with most of the inhabited land in the Northern Hemisphere.",English,remainder consists continent island inhabited land northern hemisphere,original
Earth has evolved through geological and biological processes that have left traces of the original conditions.,English,earth evolved geological biological process left trace original condition,original
The outer surface is divided into several gradually migrating tectonic plates.,English,outer surface divided several gradually migrating tectonic plate,original
"The interior remains active, with a thick layer of plastic mantle and an iron-filled core that generates a magnetic field.",English,interior remains active thick layer plastic mantle iron filled core generates magnetic field,original
"This iron core is composed of a solid inner phase, and a fluid outer phase.",English,iron core composed solid inner phase fluid outer phase,original
"Convective motion in the core generates electric currents through dynamo action, and these, in turn, generate the geomagnetic field.",English,convective motion core generates electric current dynamo action turn generate geomagnetic field,original
"The atmospheric conditions have been significantly altered from the original conditions by the presence of life-forms,[8] which create an ecological balance that stabilizes the surface conditions.",English,atmospheric condition significantly altered original condition presence life form create ecological balance stabilizes surface condition,original
"Despite the wide regional variations in climate by latitude and other geographic factors, the long-term average global climate is quite stable during interglacial periods,[9] and variations of a degree or two of average global temperature have historically had major effects on the ecological balance, and on the actual geography of the Earth.",English,despite wide regional variation climate latitude geographic factor long term average global climate quite stable interglacial period variation degree two average global temperature historically major effect ecological balance actual geography earth,original
[10][11] Geology is the science and study of the solid and liquid matter that constitutes the earth.,English,geology science study solid liquid matter constitutes earth,original
"The field of geology encompasses the study of the composition, structure, physical properties, dynamics, and history of Earth materials, and the processes by which they are formed, moved, and changed.",English,field geology encompasses study composition structure physical property dynamic history earth material process formed moved changed,original
"The field is a major academic discipline, and is also important for mineral and hydrocarbon extraction, knowledge about and mitigation of natural hazards, some Geotechnical engineering fields, and understanding past climates and environments.",English,field major academic discipline important mineral hydrocarbon extraction knowledge mitigation natural hazard geotechnical engineering field understanding past climate environment,original
The geology of an area evolves through time as rock units are deposited and inserted and deformational processes change their shapes and locations.,English,geology area evolves time rock unit deposited inserted deformational process change shape location,original
Rock units are first emplaced either by deposition onto the surface or intrude into the overlying rock.,English,rock unit first emplaced either deposition onto surface intrude overlying rock,original
"Deposition can occur when sediments settle onto the surface of the Earth and later lithify into sedimentary rock, or when as volcanic material such as volcanic ash or lava flows, blanket the surface.",English,deposition occur sediment settle onto surface earth later lithify sedimentary rock volcanic material volcanic ash lava flow blanket surface,original
"Igneous intrusions such as batholiths, laccoliths, dikes, and sills, push upwards into the overlying rock, and crystallize as they intrude.",English,igneous intrusion batholith laccoliths dike sill push upwards overlying rock crystallize intrude,original
"After the initial sequence of rocks has been deposited, the rock units can be deformed and/or metamorphosed.",English,initial sequence rock deposited rock unit deformed metamorphosed,original
"Deformation typically occurs as a result of horizontal shortening, horizontal extension, or side-to-side (strike-slip) motion.",English,deformation typically occurs result horizontal shortening horizontal extension side side strike slip motion,original
"These structural regimes broadly relate to convergent boundaries, divergent boundaries, and transform boundaries, respectively, between tectonic plates.",English,structural regime broadly relate convergent boundary divergent boundary transform boundary respectively tectonic plate,original
"Earth is estimated to have formed 4.54 billion years ago from the solar nebula, along with the Sun and other planets.",English,earth estimated formed billion year ago solar nebula along sun planet,original
[12] The moon formed roughly 20 million years later.,English,moon formed roughly million year later,original
"Initially molten, the outer layer of the Earth cooled, resulting in the solid crust.",English,initially molten outer layer earth cooled resulting solid crust,original
Outgassing and volcanic activity produced the primordial atmosphere.,English,outgassing volcanic activity produced primordial atmosphere,original
"Condensing water vapor, most or all of which came from ice delivered by comets, produced the oceans and other water sources.",English,condensing water vapor came ice delivered comet produced ocean water source,original
[13] The highly energetic chemistry is believed to have produced a self-replicating molecule around 4 billion years ago.,English,highly energetic chemistry believed produced self replicating molecule around billion year ago,original
"[14] Continents formed, then broke up and reformed as the surface of Earth reshaped over hundreds of millions of years, occasionally combining to make a supercontinent.",English,continent formed broke reformed surface earth reshaped hundred million year occasionally combining make supercontinent,original
"Roughly 750 million years ago, the earliest known supercontinent Rodinia, began to break apart.",English,roughly 750 million year ago earliest known supercontinent rodinia began break apart,original
"The continents later recombined to form Pannotia which broke apart about 540 million years ago, then finally Pangaea, which broke apart about 180 million years ago.",English,continent later recombined form pannotia broke apart 540 million year ago finally pangaea broke apart 180 million year ago,original
"[16] During the Neoproterozoic era, freezing temperatures covered much of the Earth in glaciers and ice sheets.",English,neoproterozoic era freezing temperature covered much earth glacier ice sheet,original
"This hypothesis has been termed the ""Snowball Earth"", and it is of particular interest as it precedes the Cambrian explosion in which multicellular life forms began to proliferate about 530–540 million years ago.",English,hypothesis termed snowball earth particular interest precedes cambrian explosion multicellular life form began proliferate 530 540 million year ago,original
[17] Since the Cambrian explosion there have been five distinctly identifiable mass extinctions.,English,since cambrian explosion five distinctly identifiable mass extinction,original
"[18] The last mass extinction occurred some 66 million years ago, when a meteorite collision probably triggered the extinction of the non-avian dinosaurs and other large reptiles, but spared small animals such as mammals.",English,last mass extinction occurred million year ago meteorite collision probably triggered extinction non avian dinosaur large reptile spared small animal mammal,original
"Over the past 66 million years, mammalian life diversified.",English,past million year mammalian life diversified,original
"[19] Several million years ago, a species of small African ape gained the ability to stand upright.",English,several million year ago specie small african ape gained ability stand upright,original
"[15] The subsequent advent of human life, and the development of agriculture and further civilization allowed humans to affect the Earth more rapidly than any previous life form, affecting both the nature and quantity of other organisms as well as global climate.",English,subsequent advent human life development agriculture civilization allowed human affect earth rapidly previous life form affecting nature quantity organism well global climate,original
"By comparison, the Great Oxygenation Event, produced by the proliferation of algae during the Siderian period, required about 300 million years to culminate.",English,comparison great oxygenation event produced proliferation algae siderian period required 300 million year culminate,original
"The present era is classified as part of a mass extinction event, the Holocene extinction event, the fastest ever to have occurred.",English,present era classified part mass extinction event holocene extinction event fastest ever occurred,original
"[20][21] Some, such as E. O. Wilson of Harvard University, predict that human destruction of the biosphere could cause the extinction of one-half of all species in the next 100 years.",English,wilson harvard university predict human destruction biosphere could cause extinction one half specie next 100 year,original
"[22] The extent of the current extinction event is still being researched, debated and calculated by biologists.",English,extent current extinction event still researched debated calculated biologist,original
[23][24][25] The Earth's atmosphere is a key factor in sustaining the ecosystem.,English,earth atmosphere key factor sustaining ecosystem,original
The thin layer of gases that envelops the Earth is held in place by gravity.,English,thin layer gas envelops earth held place gravity,original
"Air is mostly nitrogen, oxygen, water vapor, with much smaller amounts of carbon dioxide, argon, etc.",English,air mostly nitrogen oxygen water vapor much smaller amount carbon dioxide argon etc,original
The atmospheric pressure declines steadily with altitude.,English,atmospheric pressure decline steadily altitude,original
The ozone layer plays an important role in depleting the amount of ultraviolet (UV) radiation that reaches the surface.,English,ozone layer play important role depleting amount ultraviolet radiation reach surface,original
"As DNA is readily damaged by UV light, this serves to protect life at the surface.",English,dna readily damaged light serf protect life surface,original
"The atmosphere also retains heat during the night, thereby reducing the daily temperature extremes.",English,atmosphere retains heat night thereby reducing daily temperature extreme,original
"Terrestrial weather occurs almost exclusively in the lower part of the atmosphere, and serves as a convective system for redistributing heat.",English,terrestrial weather occurs almost exclusively lower part atmosphere serf convective system redistributing heat,original
"[26] Ocean currents are another important factor in determining climate, particularly the major underwater thermohaline circulation which distributes heat energy from the equatorial oceans to the polar regions.",English,ocean current another important factor determining climate particularly major underwater thermohaline circulation distributes heat energy equatorial ocean polar region,original
These currents help to moderate the differences in temperature between winter and summer in the temperate zones.,English,current help moderate difference temperature winter summer temperate zone,original
"Also, without the redistributions of heat energy by the ocean currents and atmosphere, the tropics would be much hotter, and the polar regions much colder.",English,without redistribution heat energy ocean current atmosphere tropic would much hotter polar region much colder,original
Weather can have both beneficial and harmful effects.,English,weather beneficial harmful effect,original
"Extremes in weather, such as tornadoes or hurricanes and cyclones, can expend large amounts of energy along their paths, and produce devastation.",English,extreme weather tornado hurricane cyclone expend large amount energy along path produce devastation,original
"Surface vegetation has evolved a dependence on the seasonal variation of the weather, and sudden changes lasting only a few years can have a dramatic effect, both on the vegetation and on the animals which depend on its growth for their food.",English,surface vegetation evolved dependence seasonal variation weather sudden change lasting year dramatic effect vegetation animal depend growth food,original
Climate is a measure of the long-term trends in the weather.,English,climate measure long term trend weather,original
"Various factors are known to influence the climate, including ocean currents, surface albedo, greenhouse gases, variations in the solar luminosity, and changes to the Earth's orbit.",English,various factor known influence climate including ocean current surface albedo greenhouse gas variation solar luminosity change earth orbit,original
"Based on historical records, the Earth is known to have undergone drastic climate changes in the past, including ice ages.",English,based historical record earth known undergone drastic climate change past including ice age,original
"The climate of a region depends on a number of factors, especially latitude.",English,climate region depends number factor especially latitude,original
A latitudinal band of the surface with similar climatic attributes forms a climate region.,English,latitudinal band surface similar climatic attribute form climate region,original
"There are a number of such regions, ranging from the tropical climate at the equator to the polar climate in the northern and southern extremes.",English,number region ranging tropical climate equator polar climate northern southern extreme,original
"Weather is also influenced by the seasons, which result from the Earth's axis being tilted relative to its orbital plane.",English,weather influenced season result earth axis tilted relative orbital plane,original
"Thus, at any given time during the summer or winter, one part of the Earth is more directly exposed to the rays of the sun.",English,thus given time summer winter one part earth directly exposed ray sun,original
This exposure alternates as the Earth revolves in its orbit.,English,exposure alternate earth revolves orbit,original
"At any given time, regardless of season, the northern and southern hemispheres experience opposite seasons.",English,given time regardless season northern southern hemisphere experience opposite season,original
"Weather is a chaotic system that is readily modified by small changes to the environment, so accurate weather forecasting is limited to only a few days.",English,weather chaotic system readily modified small change environment accurate weather forecasting limited day,original
"[27] Overall, two things are happening worldwide: (1) temperature is increasing on the average; and (2) regional climates have been undergoing noticeable changes.",English,overall two thing happening worldwide temperature increasing average regional climate undergoing noticeable change,original
[28] Water is a chemical substance that is composed of hydrogen and oxygen (H2O) and is vital for all known forms of life.,English,water chemical substance composed hydrogen oxygen h2o vital known form life,original
"[29] In typical usage, water refers only to its liquid form or state, but the substance also has a solid state, ice, and a gaseous state, water vapor, or steam.",English,typical usage water refers liquid form state substance solid state ice gaseous state water vapor steam,original
Water covers 71% of the Earth's surface.,English,water cover earth surface,original
"[30] On Earth, it is found mostly in oceans and other large bodies of water, with 1.6% of water below ground in aquifers and 0.001% in the air as vapor, clouds, and precipitation.",English,earth found mostly ocean large body water water ground aquifer 001 air vapor cloud precipitation,original
"[31][32] Oceans hold 97% of surface water, glaciers, and polar ice caps 2.4%, and other land surface water such as rivers, lakes, and ponds 0.6%.",English,ocean hold surface water glacier polar ice cap land surface water river lake pond,original
"Additionally, a minute amount of the Earth's water is contained within biological bodies and manufactured products.",English,additionally minute amount earth water contained within biological body manufactured product,original
"An ocean is a major body of saline water, and a principal component of the hydrosphere.",English,ocean major body saline water principal component hydrosphere,original
"Approximately 71% of the Earth's surface (an area of some 361 million square kilometers) is covered by ocean, a continuous body of water that is customarily divided into several principal oceans and smaller seas.",English,approximately earth surface area 361 million square kilometer covered ocean continuous body water customarily divided several principal ocean smaller sea,original
"More than half of this area is over 3,000 meters (9,800 feet) deep.",English,half area 000 meter 800 foot deep,original
"Average oceanic salinity is around 35 parts per thousand (ppt) (3.5%), and nearly all seawater has a salinity in the range of 30 to 38 ppt.",English,average oceanic salinity around part per thousand ppt nearly seawater salinity range ppt,original
"Though generally recognized as several 'separate' oceans, these waters comprise one global, interconnected body of salt water often referred to as the World Ocean or global ocean.",English,though generally recognized several separate ocean water comprise one global interconnected body salt water often referred world ocean global ocean,original
[33][34] This concept of a global ocean as a continuous body of water with relatively free interchange among its parts is of fundamental importance to oceanography.,English,concept global ocean continuous body water relatively free interchange among part fundamental importance oceanography,original
"[35] The major oceanic divisions are defined in part by the continents, various archipelagos, and other criteria: these divisions are (in descending order of size) the Pacific Ocean, the Atlantic Ocean, the Indian Ocean, the Southern Ocean, and the Arctic Ocean.",English,major oceanic division defined part continent various archipelago criterion division descending order size pacific ocean atlantic ocean indian ocean southern ocean arctic ocean,original
"Smaller regions of the oceans are called seas, gulfs, bays and other names.",English,smaller region ocean called sea gulf bay name,original
"There are also salt lakes, which are smaller bodies of landlocked saltwater that are not interconnected with the World Ocean.",English,salt lake smaller body landlocked saltwater interconnected world ocean,original
Two notable examples of salt lakes are the Aral Sea and the Great Salt Lake.,English,two notable example salt lake aral sea great salt lake,original
"A lake (from Latin word lacus) is a terrain feature (or physical feature), a body of liquid on the surface of a world that is localized to the bottom of basin (another type of landform or terrain feature; that is, it is not global) and moves slowly if it moves at all.",English,lake latin word lacus terrain feature physical feature body liquid surface world localized bottom basin another type landform terrain feature global move slowly move,original
"On Earth, a body of water is considered a lake when it is inland, not part of the ocean, is larger and deeper than a pond, and is fed by a river.",English,earth body water considered lake inland part ocean larger deeper pond fed river,original
"[36][37] The only world other than Earth known to harbor lakes is Titan, Saturn's largest moon, which has lakes of ethane, most likely mixed with methane.",English,world earth known harbor lake titan saturn largest moon lake ethane likely mixed methane,original
"It is not known if Titan's lakes are fed by rivers, though Titan's surface is carved by numerous river beds.",English,known titan lake fed river though titan surface carved numerous river bed,original
"Natural lakes on Earth are generally found in mountainous areas, rift zones, and areas with ongoing or recent glaciation.",English,natural lake earth generally found mountainous area rift zone area ongoing recent glaciation,original
Other lakes are found in endorheic basins or along the courses of mature rivers.,English,lake found endorheic basin along course mature river,original
"In some parts of the world, there are many lakes because of chaotic drainage patterns left over from the last Ice Age.",English,part world many lake chaotic drainage pattern left last ice age,original
"All lakes are temporary over geologic time scales, as they will slowly fill in with sediments or spill out of the basin containing them.",English,lake temporary geologic time scale slowly fill sediment spill basin containing,original
"A pond is a body of standing water, either natural or man-made, that is usually smaller than a lake.",English,pond body standing water either natural made usually smaller lake,original
"A wide variety of man-made bodies of water are classified as ponds, including water gardens designed for aesthetic ornamentation, fish ponds designed for commercial fish breeding, and solar ponds designed to store thermal energy.",English,wide variety made body water classified pond including water garden designed aesthetic ornamentation fish pond designed commercial fish breeding solar pond designed store thermal energy,original
Ponds and lakes are distinguished from streams via current speed.,English,pond lake distinguished stream via current speed,original
"While currents in streams are easily observed, ponds and lakes possess thermally driven micro-currents and moderate wind driven currents.",English,current stream easily observed pond lake possess thermally driven micro current moderate wind driven current,original
"These features distinguish a pond from many other aquatic terrain features, such as stream pools and tide pools.",English,feature distinguish pond many aquatic terrain feature stream pool tide pool,original
"A river is a natural watercourse,[38] usually freshwater, flowing towards an ocean, a lake, a sea or another river.",English,river natural watercourse usually freshwater flowing towards ocean lake sea another river,original
"In a few cases, a river simply flows into the ground or dries up completely before reaching another body of water.",English,case river simply flow ground dry completely reaching another body water,original
"Small rivers may also be called by several other names, including stream, creek, brook, rivulet, and rill; there is no general rule that defines what can be called a river.",English,small river may called several name including stream creek brook rivulet rill general rule defines called river,original
Many names for small rivers are specific to geographic location; one example is Burn in Scotland and North-east England.,English,many name small river specific geographic location one example burn scotland north east england,original
"Sometimes a river is said to be larger than a creek, but this is not always the case, due to vagueness in the language.",English,sometimes river said larger creek always case due vagueness language,original
[39] A river is part of the hydrological cycle.,English,river part hydrological cycle,original
"Water within a river is generally collected from precipitation through surface runoff, groundwater recharge, springs, and the release of stored water in natural ice and snowpacks (i.e., from glaciers).",English,water within river generally collected precipitation surface runoff groundwater recharge spring release stored water natural ice snowpacks glacier,original
"A stream is a flowing body of water with a current, confined within a bed and stream banks.",English,stream flowing body water current confined within bed stream bank,original
"In the United States, a stream is classified as a watercourse less than 60 feet (18 metres) wide.",English,united state stream classified watercourse less foot metre wide,original
"Streams are important as conduits in the water cycle, instruments in groundwater recharge, and they serve as corridors for fish and wildlife migration.",English,stream important conduit water cycle instrument groundwater recharge serve corridor fish wildlife migration,original
The biological habitat in the immediate vicinity of a stream is called a riparian zone.,English,biological habitat immediate vicinity stream called riparian zone,original
"Given the status of the ongoing Holocene extinction, streams play an important corridor role in connecting fragmented habitats and thus in conserving biodiversity.",English,given status ongoing holocene extinction stream play important corridor role connecting fragmented habitat thus conserving biodiversity,original
"The study of streams and waterways in general involves many branches of inter-disciplinary natural science and engineering, including hydrology, fluvial geomorphology, aquatic ecology, fish biology, riparian ecology, and others.",English,study stream waterway general involves many branch inter disciplinary natural science engineering including hydrology fluvial geomorphology aquatic ecology fish biology riparian ecology others,original
Ecosystems are composed of a variety of biotic and abiotic components that function in an interrelated way.,English,ecosystem composed variety biotic abiotic component function interrelated way,original
[41] The structure and composition is determined by various environmental factors that are interrelated.,English,structure composition determined various environmental factor interrelated,original
Variations of these factors will initiate dynamic modifications to the ecosystem.,English,variation factor initiate dynamic modification ecosystem,original
"Some of the more important components are soil, atmosphere, radiation from the sun, water, and living organisms.",English,important component soil atmosphere radiation sun water living organism,original
Central to the ecosystem concept is the idea that living organisms interact with every other element in their local environment.,English,central ecosystem concept idea living organism interact every element local environment,original
"Eugene Odum, a founder of ecology, stated: ""Any unit that includes all of the organisms (ie: the ""community"") in a given area interacting with the physical environment so that a flow of energy leads to clearly defined trophic structure, biotic diversity, and material cycles (i.e.",English,eugene odum founder ecology stated unit includes organism community given area interacting physical environment flow energy lead clearly defined trophic structure biotic diversity material cycle,original
: exchange of materials between living and nonliving parts) within the system is an ecosystem.,English,exchange material living nonliving part within system ecosystem,original
"""[42] Within the ecosystem, species are connected and dependent upon one another in the food chain, and exchange energy and matter between themselves as well as with their environment.",English,within ecosystem specie connected dependent upon one another food chain exchange energy matter well environment,original
"[43] The human ecosystem concept is based on the human/nature dichotomy and the idea that all species are ecologically dependent on each other, as well as with the abiotic constituents of their biotope.",English,human ecosystem concept based human nature dichotomy idea specie ecologically dependent well abiotic constituent biotope,original
[44] A smaller unit of size is called a microecosystem.,English,smaller unit size called microecosystem,original
"For example, a microsystem can be a stone and all the life under it.",English,example microsystem stone life,original
"A macroecosystem might involve a whole ecoregion, with its drainage basin.",English,macroecosystem might involve whole ecoregion drainage basin,original
[45] Wilderness is generally defined as areas that have not been significantly modified by human activity.,English,wilderness generally defined area significantly modified human activity,original
"Wilderness areas can be found in preserves, estates, farms, conservation preserves, ranches, national forests, national parks, and even in urban areas along rivers, gulches, or otherwise undeveloped areas.",English,wilderness area found preserve estate farm conservation preserve ranch national forest national park even urban area along river gulch otherwise undeveloped area,original
"Wilderness areas and protected parks are considered important for the survival of certain species, ecological studies, conservation, and solitude.",English,wilderness area protected park considered important survival certain specie ecological study conservation solitude,original
"Some nature writers believe wilderness areas are vital for the human spirit and creativity,[46] and some ecologists consider wilderness areas to be an integral part of the Earth's self-sustaining natural ecosystem (the biosphere).",English,nature writer believe wilderness area vital human spirit creativity ecologist consider wilderness area integral part earth self sustaining natural ecosystem biosphere,original
"They may also preserve historic genetic traits and that they provide habitat for wild flora and fauna that may be difficult or impossible to recreate in zoos, arboretums, or laboratories.",English,may preserve historic genetic trait provide habitat wild flora fauna may difficult impossible recreate zoo arboretum laboratory,original
"Although there is no universal agreement on the definition of life, scientists generally accept that the biological manifestation of life is characterized by organization, metabolism, growth, adaptation, response to stimuli, and reproduction.",English,although universal agreement definition life scientist generally accept biological manifestation life characterized organization metabolism growth adaptation response stimulus reproduction,original
[47] Life may also be said to be simply the characteristic state of organisms.,English,life may said simply characteristic state organism,original
"Properties common to terrestrial organisms (plants, animals, fungi, protists, archaea, and bacteria) are that they are cellular, carbon-and-water-based with complex organization, having a metabolism, a capacity to grow, respond to stimuli, and reproduce.",English,property common terrestrial organism plant animal fungi protist archaea bacteria cellular carbon water based complex organization metabolism capacity grow respond stimulus reproduce,original
An entity with these properties is generally considered life.,English,entity property generally considered life,original
"However, not every definition of life considers all of these properties to be essential.",English,however every definition life considers property essential,original
Human-made analogs of life may also be considered to be life.,English,human made analog life may considered life,original
"The biosphere is the part of Earth's outer shell—including land, surface rocks, water, air and the atmosphere—within which life occurs, and which biotic processes in turn alter or transform.",English,biosphere part earth outer shell including land surface rock water air atmosphere within life occurs biotic process turn alter transform,original
"From the broadest geophysiological point of view, the biosphere is the global ecological system integrating all living beings and their relationships, including their interaction with the elements of the lithosphere (rocks), hydrosphere (water), and atmosphere (air).",English,broadest geophysiological point view biosphere global ecological system integrating living being relationship including interaction element lithosphere rock hydrosphere water atmosphere air,original
"The entire Earth contains over 75 billion tons (150 trillion pounds or about 6.8×1013 kilograms) of biomass (life), which lives within various environments within the biosphere.",English,entire earth contains billion ton 150 trillion pound 1013 kilogram biomass life life within various environment within biosphere,original
"[48] Over nine-tenths of the total biomass on Earth is plant life, on which animal life depends very heavily for its existence.",English,nine tenth total biomass earth plant life animal life depends heavily existence,original
"[49] More than 2 million species of plant and animal life have been identified to date,[50] and estimates of the actual number of existing species range from several million to well over 50 million.",English,million specie plant animal life identified date estimate actual number existing specie range several million well million,original
"[51][52][53] The number of individual species of life is constantly in some degree of flux, with new species appearing and others ceasing to exist on a continual basis.",English,number individual specie life constantly degree flux new specie appearing others ceasing exist continual basis,original
[54][55] The total number of species is in rapid decline.,English,total number specie rapid decline,original
"[56][57][58] The origin of life on Earth is not well understood, but it is known to have occurred at least 3.5 billion years ago,[61][62][63] during the hadean or archean eons on a primordial Earth that had a substantially different environment than is found at present.",English,origin life earth well understood known occurred least billion year ago hadean archean eon primordial earth substantially different environment found present,original
[64] These life forms possessed the basic traits of self-replication and inheritable traits.,English,life form possessed basic trait self replication inheritable trait,original
"Once life had appeared, the process of evolution by natural selection resulted in the development of ever-more diverse life forms.",English,life appeared process evolution natural selection resulted development ever diverse life form,original
Species that were unable to adapt to the changing environment and competition from other life forms became extinct.,English,specie unable adapt changing environment competition life form became extinct,original
"However, the fossil record retains evidence of many of these older species.",English,however fossil record retains evidence many older specie,original
Current fossil and DNA evidence shows that all existing species can trace a continual ancestry back to the first primitive life forms.,English,current fossil dna evidence show existing specie trace continual ancestry back first primitive life form,original
[64] When basic forms of plant life developed the process of photosynthesis the sun's energy could be harvested to create conditions which allowed for more complex life forms.,English,basic form plant life developed process photosynthesis sun energy could harvested create condition allowed complex life form,original
[65] The resultant oxygen accumulated in the atmosphere and gave rise to the ozone layer.,English,resultant oxygen accumulated atmosphere gave rise ozone layer,original
The incorporation of smaller cells within larger ones resulted in the development of yet more complex cells called eukaryotes.,English,incorporation smaller cell within larger one resulted development yet complex cell called eukaryote,original
"[66] Cells within colonies became increasingly specialized, resulting in true multicellular organisms.",English,cell within colony became increasingly specialized resulting true multicellular organism,original
"With the ozone layer absorbing harmful ultraviolet radiation, life colonized the surface of Earth.",English,ozone layer absorbing harmful ultraviolet radiation life colonized surface earth,original
"The first form of life to develop on the Earth were microbes, and they remained the only form of life until about a billion years ago when multi-cellular organisms began to appear.",English,first form life develop earth microbe remained form life billion year ago multi cellular organism began appear,original
"[67] Microorganisms are single-celled organisms that are generally microscopic, and smaller than the human eye can see.",English,microorganism single celled organism generally microscopic smaller human eye see,original
"They include Bacteria, Fungi, Archaea, and Protista.",English,include bacteria fungi archaea protista,original
"These life forms are found in almost every location on the Earth where there is liquid water, including in the Earth's interior.",English,life form found almost every location earth liquid water including earth interior,original
"[68]
Their reproduction is both rapid and profuse.",English,reproduction rapid profuse,original
"The combination of a high mutation rate and a horizontal gene transfer[69] ability makes them highly adaptable, and able to survive in new environments, including outer space.",English,combination high mutation rate horizontal gene transfer ability make highly adaptable able survive new environment including outer space,original
[70] They form an essential part of the planetary ecosystem.,English,form essential part planetary ecosystem,original
"However, some microorganisms are pathogenic and can post health risk to other organisms.",English,however microorganism pathogenic post health risk organism,original
"Originally Aristotle divided all living things between plants, which generally do not move fast enough for humans to notice, and animals.",English,originally aristotle divided living thing plant generally move fast enough human notice animal,original
"In Linnaeus' system, these became the kingdoms Vegetabilia (later Plantae) and Animalia.",English,linnaeus system became kingdom vegetabilia later plantae animalia,original
"Since then, it has become clear that the Plantae as originally defined included several unrelated groups, and the fungi and several groups of algae were removed to new kingdoms.",English,since become clear plantae originally defined included several unrelated group fungi several group algae removed new kingdom,original
